Name,Gender,Grade,Math,Science,English,Total
ARJUN,  M  ,04,92.0,17 marks,11.0,120
"""Isha""",F,11,45 marks,46 marks,32,123
'Ishaan',0,9,18 marks,52,77,147
SAANVI,F,Grade 9,54.0,18 marks,92 marks,164
"""Navya""",0,07,58,74 marks,21,153
VIHAAN,  F  ,3,90,33 marks,53.0,176
'Aditi',female,3,45,32 marks,30.0,107
'Vihaan',Male,2,6.0,48 marks,9 marks,63
Anika,1,3,69 marks,97.0,98.0,264
'Ananya',F,01,15.0,39.0,84 marks,138
Vihaan,  M  ,07,41.0,19,11.0,71
Kabir,Female,9,88 marks,4 marks,36 marks,128
"""Arjun""",  F  ,Grade 3,14 marks,56.0,60.0,130
"""Reyansh""",female,12,13.0,88,21.0,122
'Myra',F,Grade 10,79.0,43.0,9 marks,131
Aditi,f,2,74 marks,52.0,54,180
'Kabir',Male,03,41 marks,58,6 marks,105
ADITI,1,12,33,8 marks,1.0,42
Reyansh,m,8,29,48,68 marks,145
'Navya',M,9,94 marks,59 marks,50.0,203
"""Aryan""",Male,3,19.0,49.0,66 marks,134
ISHAAN,F,12,22 marks,73.0,71 marks,166
'Advika',1,12,14.0,85 marks,54,153
"""Aarav""",f,Grade 3,0.0,77,77.0,154
Zara,male,02,40.0,48,41,129
'Reyansh',female,Grade 12,8.0,36.0,48,92
Rohan,male,Grade 2,3 marks,50 marks,45,98
Aryan,female,9,87,20 marks,56.0,163
ISHA,f,02,76,52.0,24.0,152
'Vihaan',Male,5,27,52,12 marks,91
ARYAN,f,Grade 4,25.0,96 marks,82 marks,203
Reyansh,female,02,12.0,65.0,41 marks,118
"""Rohan""",F,09,45 marks,38.0,50,133
KABIR,female,9,34.0,25 marks,4,63
"""Rohan""",m,2,63.0,24.0,87,174
Isha,Male,Grade 4,33 marks,72,65.0,170
'Shaurya',F,11,97 marks,51.0,24,172
"""Advika""",female,Grade 9,52.0,41 marks,58,151
Reyansh,f,Grade 7,22.0,26.0,72.0,120
Krishna,Female,Grade 10,33,19 marks,5,57
"""Navya""",1,Grade 2,7 marks,87 marks,68,162
"""Shaurya""",Female,06,84.0,57.0,27,168
ANIKA,Female,4,74.0,42.0,51,167
Reyansh,  F  ,Grade 3,94,7.0,4 marks,105
'Kabir',F,08,44 marks,28 marks,9,81
Aryan,female,1,44 marks,40 marks,31,115
'Navya',1,06,97,53 marks,4.0,154
"""Myra""",female,8,20 marks,37,46 marks,103
ADVIKA,Male,04,21 marks,61.0,100,182
'Reyansh',Male,08,29.0,75,24 marks,128
'Arjun',female,07,43,68.0,46.0,157
Vihaan,F,Grade 7,8 marks,79,99,186
"""Myra""",M,Grade 6,23 marks,9,90.0,122
'Aditi',  F  ,03,24.0,92,93 marks,209
Rohan,  F  ,Grade 7,66 marks,9.0,47.0,122
Shaurya,1,Grade 12,18 marks,29.0,17 marks,64
KABIR,  F  ,Grade 9,81,19,31,131
'Navya',f,1,77 marks,5.0,88.0,170
VIHAAN,  M  ,5,6 marks,84 marks,87 marks,177
'Isha',F,8,51 marks,30 marks,30 marks,111
'Krishna',Male,Grade 11,20 marks,36,15.0,71
Krishna,M,Grade 4,27.0,9.0,55.0,91
Aditi,Male,11,44.0,18,61 marks,123
Rohan,Male,Grade 2,90 marks,41 marks,54.0,185
'Shaurya',0,1,83 marks,91.0,88 marks,262
"""Ananya""",M,03,90.0,32,49.0,171
Rohan,1,2,30.0,75,37,142
'Isha',female,06,15 marks,89.0,37,141
"""Vihaan""",  F  ,Grade 5,50.0,98 marks,99 marks,247
"""Navya""",f,11,1 marks,57 marks,18.0,76
'Krishna',m,7,45.0,64 marks,2 marks,111
Zara,f,4,21,39 marks,21 marks,81
'Aditi',Male,Grade 7,86,62,93.0,241
'Anika',m,Grade 7,23,75 marks,70.0,168
'Aarav',  F  ,12,70.0,47.0,21 marks,138
Vihaan,F,7,56 marks,2.0,46 marks,104
DIYA,  M  ,12,5.0,10 marks,62.0,77
'Navya',m,09,59.0,51.0,2 marks,112
'Zara',female,Grade 6,29 marks,17,24 marks,70
Vihaan,0,04,98 marks,86 marks,31,215
ARYAN,male,Grade 3,24 marks,72.0,72.0,168
"""Krishna""",female,11,10 marks,11.0,50 marks,71
Aarav,f,4,39 marks,84,54,177
"""Ananya""",  F  ,Grade 9,48 marks,58,31.0,137
"""Aditi""",f,09,71,92 marks,55,218
'Advika',Female,12,61 marks,3 marks,29,93
ISHA,Male,04,56,29,10,95
'Reyansh',m,6,66 marks,58.0,55 marks,179
SHAURYA,Female,07,65 marks,29 marks,20.0,114
"""Diya""",male,5,46,43.0,15,104
'Kabir',F,1,16 marks,84,9 marks,109
'Aditi',Male,6,74,0,48 marks,122
"""Aryan""",M,Grade 3,69,41 marks,88 marks,198
ARYAN,male,04,43.0,91 marks,19 marks,153
'Aarav',female,Grade 12,66,53,19 marks,138
"""Isha""",  F  ,Grade 4,9,41.0,100 marks,150
Shaurya,Female,Grade 4,100,93,81.0,274
ISHA,Female,04,11,84.0,83,178
'Navya',  M  ,7,40 marks,68 marks,82,190
"""Shaurya""",M,5,64.0,95 marks,89.0,248
"""Advika""",F,05,71,41,40,152
Kabir,1,Grade 4,96,14.0,49 marks,159
'Krishna',female,11,54,39.0,29,122
'Aarav',Female,02,70 marks,47,15,132
Advika,1,Grade 7,60 marks,54,0 marks,114
ADVIKA,Female,9,23.0,64.0,92,179
'Myra',  F  ,11,17,50,81,148
'Krishna',Female,1,95,95 marks,52 marks,242
'Myra',1,8,35.0,91.0,58,184
NAVYA,m,6,94.0,96.0,94.0,284
Ishaan,Female,06,32,28 marks,43 marks,103
"""Rohan""",M,Grade 1,9 marks,21,91 marks,121
'Aarav',1,09,35,8.0,59.0,102
KABIR,  F  ,07,19 marks,58,8 marks,85
MYRA,0,04,28,57 marks,88.0,173
"""Anika""",M,9,3.0,8.0,36 marks,47
VIHAAN,  F  ,10,99 marks,99,84,282
Aditi,F,10,89 marks,79.0,0,168
ZARA,M,03,71,36 marks,48 marks,155
ADVIKA,Male,02,82,24.0,71.0,177
"""Rohan""",  M  ,03,27 marks,67 marks,16 marks,110
'Myra',M,Grade 2,100,82.0,1,183
ZARA,1,3,98,53.0,21.0,172
ADVIKA,M,05,86 marks,48.0,86.0,220
KRISHNA,male,11,59.0,65,44 marks,168
Ishaan,0,8,26 marks,89,10 marks,125
"""Krishna""",m,04,36,84 marks,34.0,154
ANANYA,f,10,89 marks,27 marks,55.0,171
'Advika',male,Grade 11,74 marks,66 marks,66.0,206
Vihaan,  M  ,09,63,22,81,166
'Advika',female,Grade 3,57.0,9 marks,37.0,103
"""Shaurya""",1,Grade 10,89,2,74.0,165
ARYAN,Male,Grade 2,45,87,6.0,138
"""Ananya""",m,Grade 1,9 marks,2.0,48,59
"""Ishaan""",female,11,20,95.0,77.0,192
"""Advika""",F,Grade 2,56 marks,11,90 marks,157
'Krishna',Male,Grade 2,57 marks,76.0,25,158
"""Anika""",f,Grade 5,63.0,37 marks,74,174
"""Rohan""",  F  ,05,93,80 marks,63.0,236
'Ishaan',f,9,70,2,50,122
'Navya',1,8,31.0,48.0,22,101
"""Reyansh""",female,05,66.0,63 marks,51 marks,180
'Krishna',F,01,55 marks,63,1.0,119
"""Shaurya""",  F  ,10,95,60,24.0,179
Vihaan,  F  ,Grade 9,29,96.0,15.0,140
'Zara',Female,06,28,76,95,199
Kabir,f,Grade 6,30,33.0,66.0,129
'Aditi',f,11,88 marks,61,66,215
NAVYA,F,Grade 12,36 marks,2 marks,27,65
'Saanvi',F,Grade 4,5 marks,89 marks,99 marks,193
Rohan,female,2,88.0,42,66 marks,196
'Navya',0,03,84.0,3,0 marks,87
"""Krishna""",female,10,24.0,53 marks,95 marks,172
ADITI,f,10,74 marks,78 marks,25,177
"""Saanvi""",f,1,70 marks,72.0,73 marks,215
Aryan,m,04,81.0,40.0,82.0,203
ADITI,f,10,57,85 marks,85.0,227
KABIR,f,1,36,32,97 marks,165
ISHAAN,female,9,33 marks,54 marks,33 marks,120
"""Krishna""",  F  ,Grade 11,69.0,21 marks,80.0,170
"""Aryan""",M,Grade 6,43,50,10,103
"""Isha""",M,Grade 6,45.0,31 marks,63 marks,139
ARJUN,  M  ,09,58 marks,89.0,6 marks,153
Arjun,Female,06,60.0,5.0,53,118
"""Ananya""",Female,7,60,32 marks,40 marks,132
VIHAAN,Male,Grade 2,13,35.0,82.0,130
Aditi,female,8,53,90,27.0,170
ANIKA,male,01,62.0,22.0,50,134
"""Navya""",  M  ,2,14.0,70.0,41.0,125
"""Saanvi""",1,04,21,69.0,99.0,189
Anika,  F  ,Grade 6,38.0,96.0,19,153
MYRA,  M  ,5,2,83,72 marks,157
Arjun,0,03,44.0,65,95,204
'Vihaan',male,Grade 1,18 marks,3,66 marks,87
"""Saanvi""",  F  ,Grade 4,10.0,8,64 marks,82
Shaurya,Female,Grade 9,53.0,6 marks,25 marks,84
Reyansh,Female,Grade 7,43 marks,85 marks,81 marks,209
"""Isha""",F,3,96,72.0,75,243
Aarav,male,04,74.0,71.0,10 marks,155
Shaurya,F,3,38 marks,20 marks,80 marks,138
'Reyansh',f,3,65.0,85,72,222
KRISHNA,m,03,49,97.0,4 marks,150
"""Aditi""",Female,3,18,17,4 marks,39
'Reyansh',f,11,16.0,53 marks,8.0,77
"""Ishaan""",  M  ,9,71 marks,10,83 marks,164
Isha,m,Grade 10,81.0,10.0,12,103
Shaurya,F,Grade 11,5,43,100 marks,148
Arjun,M,Grade 7,93.0,69,24 marks,186
"""Aditi""",f,2,55 marks,97.0,67.0,219
ISHAAN,M,5,73,92.0,49,214
Krishna,0,Grade 12,36.0,52,79 marks,167
NAVYA,F,9,61 marks,35.0,96.0,192
Aditi,m,2,74.0,72 marks,68.0,214
Aryan,  F  ,Grade 2,94.0,10.0,36,140
'Rohan',Female,Grade 3,88.0,37.0,76,201
"""Aryan""",m,Grade 3,81.0,68 marks,20,169
'Rohan',Male,4,7,59,21.0,87
Ananya,male,Grade 10,55,67.0,59 marks,181
"""Diya""",Male,Grade 9,12.0,41.0,0,53
Ishaan,0,02,32 marks,51.0,45.0,128
"""Vihaan""",  F  ,08,35 marks,46 marks,6 marks,87
"""Ishaan""",Male,08,81.0,44.0,73,198
Myra,male,10,96.0,52,93.0,241
Zara,m,05,62 marks,25.0,66,153
ANIKA,F,9,93 marks,84 marks,30 marks,207
"""Aarav""",male,Grade 1,65.0,25.0,42 marks,132
ADITI,  F  ,1,44 marks,23 marks,51,118
ADVIKA,1,8,35 marks,39,98.0,172
REYANSH,m,Grade 1,1.0,100 marks,24 marks,125
MYRA,M,12,91,24 marks,25.0,140
"""Arjun""",f,4,56.0,26 marks,76.0,158
'Arjun',M,Grade 3,50 marks,84,93.0,227
ROHAN,  F  ,12,75.0,58.0,89 marks,222
'Rohan',m,3,10 marks,25.0,35,70
Rohan,1,Grade 7,60 marks,94 marks,17,171
"""Ananya""",M,11,99 marks,75,6.0,180
DIYA,f,Grade 11,89 marks,44 marks,25 marks,158
"""Ananya""",M,Grade 12,65 marks,60 marks,32.0,157
Advika,male,2,87 marks,30 marks,86,203
'Aryan',m,06,76,17.0,63 marks,156
Anika,female,06,64.0,75,94.0,233
SHAURYA,  M  ,Grade 11,32,55 marks,7.0,94
"""Ananya""",male,Grade 4,54.0,89,11 marks,154
'Aarav',female,Grade 10,7.0,13 marks,13,33
"""Krishna""",male,Grade 9,83 marks,79 marks,42 marks,204
'Ananya',1,03,87 marks,23.0,44,154
"""Krishna""",female,6,3 marks,19.0,39,61
'Kabir',0,Grade 6,12.0,30.0,83.0,125
'Navya',1,04,78 marks,73 marks,21,172
Ishaan,  M  ,9,82 marks,90.0,9 marks,181
"""Ananya""",Female,Grade 8,42.0,26 marks,76.0,144
"""Navya""",  M  ,8,60,45,14 marks,119
KABIR,  M  ,Grade 5,9.0,16.0,11,36
'Zara',Male,Grade 6,45 marks,81,88 marks,214
KABIR,female,04,12,9.0,14 marks,35
"""Aarav""",M,11,7.0,41 marks,45.0,93
'Reyansh',0,Grade 11,51 marks,16 marks,73.0,140
"""Navya""",  F  ,Grade 5,59,3,93.0,155
Anika,f,3,72,1 marks,56,129
"""Rohan""",  F  ,Grade 12,99.0,82 marks,60.0,241
ARYAN,  F  ,4,6 marks,25.0,24 marks,55
Reyansh,m,12,14.0,77 marks,58 marks,149
'Aditi',male,Grade 5,69 marks,3 marks,57 marks,129
"""Saanvi""",  F  ,Grade 5,93,47.0,42,182
"""Reyansh""",f,Grade 8,37,6.0,9 marks,52
Kabir,F,03,27 marks,78,90 marks,195
'Aarav',1,2,84,64,65 marks,213
ZARA,m,Grade 2,84.0,44 marks,70,198
"""Rohan""",female,7,56,99,60.0,215
'Arjun',1,8,66,63,56 marks,185
'Saanvi',  M  ,Grade 10,89,58,26 marks,173
AARAV,Male,09,42 marks,28,76.0,146
'Shaurya',1,5,64.0,95.0,26.0,185
Vihaan,F,Grade 10,33.0,13 marks,63,109
"""Reyansh""",M,08,56.0,11,0,67
'Ishaan',1,11,48.0,76 marks,67 marks,191
"""Rohan""",0,Grade 1,92 marks,62.0,34,188
'Aryan',  M  ,12,46.0,84 marks,80,210
ARJUN,male,10,17,41 marks,25,83
'Diya',M,Grade 7,79,87,23,189
Reyansh,  F  ,Grade 8,44 marks,45.0,60.0,149
NAVYA,Male,Grade 6,44,11.0,34.0,89
"""Ananya""",female,8,2.0,46 marks,71,119
"""Saanvi""",m,06,21.0,12.0,40,73
Myra,Male,5,48 marks,60.0,0,108
Aarav,male,10,46.0,44,59 marks,149
"""Isha""",Male,07,9.0,58 marks,71 marks,138
VIHAAN,  M  ,8,52,98 marks,37,187
"""Advika""",m,7,18.0,91,28 marks,137
"""Isha""",m,Grade 9,0 marks,33.0,5,38
REYANSH,  M  ,10,14.0,77,54,145
Ananya,M,06,37,12,50 marks,99
'Krishna',male,6,45,99 marks,24.0,168
VIHAAN,  M  ,Grade 3,76,29 marks,60 marks,165
Reyansh,Female,02,14 marks,27.0,49 marks,90
"""Diya""",Female,Grade 7,1,53,80,134
'Ananya',  M  ,Grade 5,76,86,56.0,218
"""Arjun""",m,9,9,43 marks,1,53
ROHAN,Male,Grade 3,18 marks,33 marks,59,110
"""Arjun""",Female,12,59.0,80,36,175
"""Advika""",0,Grade 9,18,56 marks,50.0,124
'Kabir',Male,12,81.0,75 marks,10,166
'Reyansh',m,4,85 marks,39.0,16 marks,140
'Aarav',1,4,11.0,6.0,41,58
'Shaurya',F,2,81,23,3,107
AARAV,  M  ,3,18,15,33 marks,66
'Aarav',male,12,63,47,98.0,208
'Krishna',female,Grade 3,76.0,87.0,46,209
Diya,0,4,98 marks,71.0,40.0,209
ISHAAN,  F  ,04,69 marks,0 marks,3 marks,72
Aditi,0,7,30,57 marks,92,179
"""Navya""",f,Grade 1,92,86,62.0,240
ANANYA,0,08,78,93,39.0,210
AARAV,male,3,77 marks,84.0,41.0,202
"""Aryan""",1,05,42 marks,3 marks,50.0,95
"""Kabir""",m,06,87.0,90 marks,84.0,261
REYANSH,  M  ,Grade 5,97,5.0,41,143
'Reyansh',Female,3,30 marks,89.0,38.0,157
Diya,1,Grade 5,32,20.0,67 marks,119
Isha,0,10,40 marks,49 marks,77,166
"""Aarav""",Female,Grade 8,78.0,71 marks,61 marks,210
"""Aditi""",M,Grade 1,83,95,53 marks,231
'Zara',1,Grade 2,47.0,17.0,27 marks,91
ISHAAN,Male,12,84 marks,71.0,24 marks,179
"""Ananya""",f,05,99,2.0,81.0,182
'Aryan',Male,10,62 marks,76,25,163
"""Myra""",Male,01,67,35.0,71.0,173
ISHAAN,Male,Grade 4,10 marks,23,79.0,112
"""Ishaan""",M,Grade 10,68 marks,88 marks,32.0,188
'Aditi',male,Grade 9,79,27.0,97,203
Ananya,M,Grade 7,88 marks,15 marks,88,191
"""Arjun""",F,05,89 marks,27,97 marks,213
"""Krishna""",m,11,8 marks,92 marks,38.0,138
"""Aarav""",  M  ,Grade 11,56,26 marks,30 marks,112
"""Ananya""",0,Grade 7,6 marks,35 marks,64,105
Aryan,0,2,85 marks,29,96,210
AARAV,F,8,84,100,41,225
'Shaurya',female,06,82 marks,29,32 marks,143
SAANVI,m,12,57.0,31 marks,40.0,128
'Reyansh',female,1,14,5.0,3 marks,22
"""Krishna""",f,Grade 2,94,26 marks,92.0,212
Shaurya,  F  ,Grade 11,82.0,16.0,33 marks,131
Kabir,M,08,89 marks,8 marks,82.0,179
ADITI,1,3,1.0,26 marks,17.0,44
Kabir,M,Grade 5,21,52.0,84,157
Aditi,m,2,52.0,59 marks,9 marks,120
Myra,  F  ,09,32 marks,94 marks,91.0,217
Ananya,Male,Grade 6,3,92,44.0,139
"""Vihaan""",male,09,44.0,40 marks,76 marks,160
Aryan,Female,Grade 2,85,44 marks,80,209
"""Kabir""",  F  ,08,70 marks,20 marks,58 marks,148
Reyansh,Male,3,86,41.0,0,127
'Reyansh',M,5,18,70,20,108
'Saanvi',  F  ,12,62 marks,16.0,42.0,120
ROHAN,f,6,17.0,6 marks,73,96
Arjun,1,Grade 6,16,62.0,70,148
"""Shaurya""",0,Grade 8,20 marks,21 marks,2,43
"""Reyansh""",f,Grade 12,70 marks,92.0,59,221
KABIR,female,2,46.0,57.0,67,170
ANANYA,male,10,39.0,96,58.0,193
'Shaurya',  M  ,Grade 10,63,31 marks,35.0,129
'Diya',  F  ,Grade 1,22 marks,79,91 marks,192
"""Zara""",F,6,53.0,8 marks,72 marks,133
DIYA,m,9,17 marks,16,46 marks,79
"""Aarav""",Female,06,50.0,72.0,39 marks,161
ADVIKA,female,Grade 6,41 marks,11,85,137
'Aarav',female,08,27 marks,25,59.0,111
"""Aarav""",Male,Grade 9,36,52,86.0,174
Isha,Male,Grade 12,96 marks,22.0,15 marks,133
AARAV,male,08,56 marks,31 marks,11.0,98
ADITI,M,6,38 marks,93.0,45,176
Reyansh,f,08,8,38,66 marks,112
KRISHNA,Female,9,18.0,93 marks,21 marks,132
Aarav,male,7,8.0,9 marks,60 marks,77
ADVIKA,Female,03,72.0,38.0,10.0,120
Saanvi,f,9,88,72 marks,47 marks,207
'Navya',m,Grade 7,28 marks,76 marks,93.0,197
'Aditi',M,10,93,77.0,74,244
Myra,  M  ,02,50.0,1,82.0,133
'Shaurya',Female,Grade 8,25,98.0,17 marks,140
'Saanvi',  M  ,Grade 2,95.0,18.0,15,128
"""Zara""",M,11,100.0,38.0,44,182
Vihaan,female,11,4,4 marks,33 marks,41
Rohan,1,8,50,50 marks,29,129
'Ishaan',F,11,51,80 marks,9 marks,140
NAVYA,Female,Grade 11,36 marks,38,40.0,114
Kabir,female,Grade 11,82 marks,34 marks,21 marks,137
ISHAAN,female,Grade 7,28.0,50 marks,53,131
DIYA,M,Grade 11,97 marks,97,51,245
Navya,m,Grade 10,25.0,66.0,83 marks,174
"""Anika""",Female,Grade 4,67.0,8,59.0,134
Aarav,1,10,4,55,34.0,93
VIHAAN,F,01,41 marks,30 marks,84.0,155
"""Arjun""",m,5,24,56,9.0,89
Ananya,1,Grade 10,10.0,94.0,2,106
Shaurya,f,1,94.0,5,44.0,143
'Anika',Female,05,32 marks,56.0,41 marks,129
SHAURYA,  F  ,07,23,53 marks,48.0,124
'Saanvi',m,1,65,44.0,28,137
ARYAN,F,Grade 3,31.0,86 marks,35.0,152
REYANSH,Male,1,8,78.0,30 marks,116
"""Aarav""",Male,08,58,50 marks,38.0,146
Saanvi,Male,4,6,24,44,74
"""Aarav""",Female,Grade 8,99,50,40 marks,189
